timestamp,util_gpu_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026/09/19 19:58:19.344, 39 %, 65 MiB, 8151 MiB, 15.95 W, 57
2026/09/19 19:58:29.365, 13 %, 65 MiB, 8151 MiB, 15.87 W, 55
2026/09/19 19:58:39.386, 12 %, 65 MiB, 8151 MiB, 14.06 W, 55
2026/09/19 19:58:49.406, 13 %, 65 MiB, 8151 MiB, 13.46 W, 56
2026/09/19 19:58:59.428, 53 %, 65 MiB, 8151 MiB, 13.05 W, 57
2026/09/19 19:59:09.454, 49 %, 65 MiB, 8151 MiB, 16.34 W, 57
2026/09/19 19:59:19.481, 9 %, 65 MiB, 8151 MiB, 15.39 W, 56
2026/09/19 19:59:29.503, 9 %, 65 MiB, 8151 MiB, 15.69 W, 56
2026/09/19 19:59:39.524, 16 %, 65 MiB, 8151 MiB, 15.93 W, 56
2026/09/19 19:59:49.545, 44 %, 65 MiB, 8151 MiB, 16.25 W, 57
2026/09/19 19:59:59.567, 14 %, 65 MiB, 8151 MiB, 15.09 W, 56
2026/09/19 20:00:09.594, 8 %, 65 MiB, 8151 MiB, 15.76 W, 56
2026/09/19 20:00:19.620, 45 %, 65 MiB, 8151 MiB, 15.86 W, 56
2026/09/19 20:00:29.643, 12 %, 65 MiB, 8151 MiB, 15.55 W, 56
2026/09/19 20:00:39.665, 10 %, 65 MiB, 8151 MiB, 15.12 W, 55
2026/09/19 20:00:49.687, 7 %, 65 MiB, 8151 MiB, 14.62 W, 55
2026/09/19 20:00:59.711, 28 %, 65 MiB, 8151 MiB, 14.64 W, 55
2026/09/19 20:01:09.733, 32 %, 65 MiB, 8151 MiB, 15.56 W, 56
2026/09/19 20:01:19.759, 23 %, 65 MiB, 8151 MiB, 13.96 W, 55
2026/09/19 20:01:29.785, 34 %, 65 MiB, 8151 MiB, 15.81 W, 55
2026/09/19 20:01:39.807, 52 %, 65 MiB, 8151 MiB, 14.54 W, 56
2026/09/19 20:01:49.828, 42 %, 65 MiB, 8151 MiB, 15.79 W, 56
2026/09/19 20:01:59.851, 11 %, 65 MiB, 8151 MiB, 16.23 W, 56
2026/09/19 20:02:09.875, 11 %, 65 MiB, 8151 MiB, 17.19 W, 56
2026/09/19 20:02:19.897, 36 %, 65 MiB, 8151 MiB, 16.27 W, 56
2026/09/19 20:02:29.918, 10 %, 65 MiB, 8151 MiB, 16.00 W, 56
2026/09/19 20:02:39.939, 14 %, 65 MiB, 8151 MiB, 16.23 W, 55
2026/09/19 20:02:49.962, 52 %, 65 MiB, 8151 MiB, 17.06 W, 55
2026/09/19 20:02:59.985, 10 %, 65 MiB, 8151 MiB, 14.93 W, 55
2026/09/19 20:03:10.009, 13 %, 65 MiB, 8151 MiB, 16.58 W, 56
2026/09/19 20:03:20.030, 8 %, 65 MiB, 8151 MiB, 15.60 W, 56
2026/09/19 20:03:30.053, 14 %, 65 MiB, 8151 MiB, 17.03 W, 57
2026/09/19 20:03:40.075, 9 %, 65 MiB, 8151 MiB, 12.23 W, 56
2026/09/19 20:03:50.097, 52 %, 65 MiB, 8151 MiB, 16.71 W, 56
2026/09/19 20:04:00.118, 33 %, 65 MiB, 8151 MiB, 13.96 W, 56
2026/09/19 20:04:10.142, 12 %, 65 MiB, 8151 MiB, 16.82 W, 56
2026/09/19 20:04:20.172, 12 %, 65 MiB, 8151 MiB, 15.91 W, 56
2026/09/19 20:04:30.199, 9 %, 65 MiB, 8151 MiB, 14.54 W, 56
2026/09/19 20:04:40.227, 7 %, 65 MiB, 8151 MiB, 15.02 W, 56
2026/09/19 20:04:50.253, 9 %, 65 MiB, 8151 MiB, 16.06 W, 56
2026/09/19 20:05:00.280, 8 %, 65 MiB, 8151 MiB, 16.34 W, 56
2026/09/19 20:05:10.304, 43 %, 65 MiB, 8151 MiB, 17.23 W, 57
2026/09/19 20:05:20.327, 10 %, 65 MiB, 8151 MiB, 13.49 W, 56
